ahref,citation,class,parent_legislation,currency,currency_date,date_scraped
/laws/regulation/230374,O. Reg. 374/23: ACQUISITION AND DISPOSITION OF REAL PROPERTY,regulation,Education Act,current regulation,"December  6, 2023",2023-12-16 23:10:43.847852
/laws/statute/23c23,"Consumer Protection Act, 2023, S.O. 2023, c. 23, Sched. 1",act,None,current statute,"December  6, 2023",2023-12-16 23:10:43.847852
/laws/statute/23d22,"Duffins Rouge Agricultural Preserve Act, 2023, S.O. 2023, c. 22, Sched. 1",act,None,current statute,"December  6, 2023",2023-12-16 23:10:43.847852
/laws/statute/22d24,"Duffins Rouge Agricultural Preserve Repeal Act, 2022, S.O. 2022, c. 24, Sched. 2",act,None,statute,"December  6, 2023",2023-12-16 23:10:43.847852
/laws/statute/17t33,"Ticket Sales Act, 2017, S.O. 2017, c. 33, Sched. 3",act,None,current statute,"December  6, 2023",2023-12-16 23:10:43.847852
/laws/statute/16r12,"Resource Recovery and Circular Economy Act, 2016, S.O. 2016, c. 12, Sched. 1",act,None,current statute,"December  6, 2023",2023-12-16 23:10:43.847852
/laws/statute/11o09a,"Ontario Infrastructure and Lands Corporation Act, 2011, S.O. 2011, c. 9, Sched. 32",act,None,current statute,"December  6, 2023",2023-12-16 23:10:43.847852
/laws/regulation/050059,O. Reg. 59/05: DESIGNATION OF GREENBELT AREA,regulation,"Greenbelt Act, 2005",regulation,"December  6, 2023",2023-12-16 23:10:43.847852
/laws/statute/05g01,"Greenbelt Act, 2005, S.O. 2005, c. 1",act,None,current statute,"December  6, 2023",2023-12-16 23:10:43.847852
/laws/statute/02c30,"Consumer Protection Act, 2002, S.O. 2002, c. 30, Sched. A",act,None,current statute,"December  6, 2023",2023-12-16 23:10:43.847852
/laws/statute/02l24,"Limitations Act, 2002, S.O. 2002, c. 24, Sched. B",act,None,current statute,"December  6, 2023",2023-12-16 23:10:43.847852
